,PC1,PC2,PC3,PC4,PC5
basic_ttr,-0.11137979378111312,-0.042930864837599336,0.26845245871138834,0.14250599428142227,-0.0527423514967455
basic_tokens_per_sentence_mean,0.08851173145603208,-0.24074441833513927,0.01431579164285643,0.024998061610809384,-0.04888211835702841
basic_chars_per_token_mean,-0.09587143861152891,-0.2125743482726762,0.04443521930158206,0.06773353856689462,-0.17016297089083043
basic_n_unique_unigrams,0.012449633272779592,-0.025801929995002693,0.05110367433654503,0.3209888193211835,-0.13195192304437475
basic_n_unique_bigrams,-0.04092994833525705,0.06119415606976518,0.30089320661360786,0.19800994270739058,-0.11729117277463293
basic_n_repeated_bigrams,0.03783037456337183,-0.06426281756345803,-0.28549637039258036,-0.2222873980701321,0.1251159165383816
basic_n_unique_trigrams,-0.01693768857256823,0.09411181277503908,0.2740517033021805,0.17550696026065749,-0.14436961298764514
basic_n_repeated_trigrams,0.022054269536312596,-0.088698829035712,-0.27912460333329897,-0.1770434296032971,0.1430051504369005
synt_mean_dependency_distance,0.23691075224846808,-0.03950287428450819,-0.03317826634250641,0.08880275375091537,-0.006468306545093366
synt_DEPREL_det_prop,-0.12305018330910546,-0.04531897338016013,0.09753686147988244,-0.21986913883575132,0.16297104397795548
synt_DEPREL_det_md,0.05447983710582581,-0.032095192275673236,-0.1468596315699647,0.221207420265713,-0.23036260798308322
synt_DEPREL_root_prop,-0.10443289207793922,0.15599931198438108,0.16848630243950818,-0.1223973911643928,0.04201708746764378
synt_DEPREL_root_md,0.004222302937908966,-0.11566523626993878,-0.1930785897679687,0.1347284581962739,-0.029587356814294963
synt_DEPREL_cc_prop,0.08225544351532496,0.036240721234390344,0.07986611684596359,-0.06441251228015672,-0.21092597616280015
synt_DEPREL_cc_md,0.06617793529016795,0.10902835434785588,-0.19564533937868087,0.00996348601997261,0.026001118812373537
synt_DEPREL_conj_prop,0.052624667965109215,-0.1119230158708215,-0.03249957502402999,-0.004540099492263246,-0.05584646339261993
synt_DEPREL_conj_md,0.1962308588932088,-0.09509382028396143,0.009102666475468405,-0.08771057372399327,0.06945260086590037
synt_DEPREL_case_prop,-0.08933030452296961,-0.2050764795341854,0.13340853611187556,-0.10813269457299546,0.0651390748882663
synt_DEPREL_case_md,0.20168478149077168,-0.04746358501087535,4.1430763226419586e-05,-0.0930938200116769,-0.2124035062149338
synt_DEPREL_nmod_prop,-0.09403959801053753,-0.2280747523494097,0.019540850355374815,-0.08094776868128042,0.05924583799704275
synt_DEPREL_nmod_md,0.22388482874615842,-0.0711084542671312,0.10349403532994664,-0.03488741511012992,-0.012823882664550706
synt_DEPREL_punct_prop,0.007112162104212119,0.02258007693551006,-0.20112531131388803,0.09437788086994965,0.04675878957495154
synt_DEPREL_obj_prop,0.014599307469275869,0.1854327864722243,0.08428052062136346,0.05308378470767617,0.04978089173793341
synt_DEPREL_obj_md,0.20259905196335184,-0.051185200647101144,0.09213901704691319,-0.1382894905847655,-0.14926238044945336
synt_DEPREL_amod_prop,-0.011061415740865554,-0.1846455936463535,-0.06738735841021834,0.18237008200415594,-0.19441647926923497
synt_DEPREL_amod_md,0.036720904058763555,0.019545028786421035,-0.1248136321219366,0.06878689002733246,0.13151740116158742
synt_DEPREL_appos_prop,-0.07747860446358344,-0.21488114773037567,0.022378455698961144,-0.07667930165376721,0.03917857233258582
synt_DEPREL_appos_md,0.17278767269421036,-0.023855426457782953,0.09016257590581378,-0.18155037351906558,-0.14134381271535734
synt_DEPREL_nsubj_prop,0.12058752659472274,0.17586545593441769,-0.14932165302620015,0.0069299341485185885,0.06447287099636102
synt_DEPREL_nsubj_md,-0.002173670036841854,-0.17662849828751617,0.05437314982650817,0.13696190933915647,0.06001451290754718
synt_DEPREL_mark_prop,0.02901834475642172,0.13182267959330912,0.09868327473099382,0.06890852554124517,-0.08842933772514656
synt_DEPREL_mark_md,0.098390982130965,-0.06927512602076963,0.10766406444221938,0.15336729779774594,0.32318228438725716
synt_DEPREL_acl_prop,-0.07073836548673584,-0.16184519653219429,0.05387856174341872,-0.06000803369355991,-0.0597214640812337
synt_DEPREL_acl_md,0.19642492091959632,-0.04385665196604376,0.07689810103632265,-0.18215246183007514,-0.15438476421357142
synt_DEPREL_advmod_prop,0.08554638797223152,0.22136280569667274,0.0822928892245893,-0.023481040686829536,0.08521473785918751
synt_DEPREL_advmod_md,0.1120157102157395,-0.08083567234378884,0.05785198830419534,0.16879258994468474,0.14972018114319646
synt_DEPREL_obl_prop,-0.0021806854723477585,0.09522912277178094,0.151577836767129,-0.07639408232822723,0.03679955872271982
synt_DEPREL_obl_md,0.18022393489488586,-0.08764751363148496,0.06505425300158416,0.13257213568385318,0.16943933363208025
synt_DEPREL_advcl_prop,0.09985265093827712,0.14398875337788286,0.11848401857310312,0.13131726399952212,0.05011611217769925
synt_DEPREL_advcl_md,0.19785213941766008,-0.10512673747560568,0.09705828265932531,-0.0107943410580692,0.08589484507178151
synt_DEPREL_cop_prop,0.040741175504873536,0.20343172387076414,0.023204382762459997,-0.11268356021073546,-0.02681070908230331
synt_DEPREL_cop_md,0.040901775661739075,-0.06645828856738967,-0.10561995621836877,0.1678683501078527,-0.1659275149534304
synt_DEPREL_xcomp_prop,0.02263761488620511,0.10693021187556814,0.1295996607222466,-0.07612780634345963,0.0037383633700222786
synt_DEPREL_xcomp_md,0.19628651334046526,-0.0873115280681987,0.1183741345083664,-0.06712405349862885,0.05240311326987192
synt_DEPREL_acl:relcl_prop,0.057535775454970864,0.0490813457558486,0.0940619956139761,-0.14915404716424255,-0.08084161782629727
synt_DEPREL_acl:relcl_md,0.18865197987413404,-0.05048891561166274,0.09589373422375008,-0.16583110689527772,-0.15777759570103503
synt_UPOS_DET_md,0.08489801840534227,0.001967135368559563,-0.1761021105236176,0.18798683070334035,-0.12276917241440843
synt_UPOS_NOUN_prop,-0.06196524903736222,-0.11263186351492603,-0.07016064583227316,-0.031027463968661625,-0.11563287184027277
synt_UPOS_NOUN_md,0.21976155143121792,-0.093389381862165,0.039259651717579176,-0.001489555400108079,0.022893647454187056
synt_UPOS_ADP_prop,-0.11046312427791499,-0.1813972979830346,0.1757849883932224,-0.12278172881277541,0.09192040912284133
synt_UPOS_ADP_md,0.19487781798736312,-0.05526002178002347,0.007977525943200454,-0.12535978209756038,-0.20084716172911796
synt_UPOS_PUNCT_md,0.22811101455836197,0.02136732829399136,-0.025651647910919086,0.0646571505752562,-0.03749611910115462
synt_UPOS_VERB_prop,0.028347600207984068,0.24536401813711015,0.06319391808669092,-0.006120793001842928,0.0967853500074157
synt_UPOS_VERB_md,0.23471096915387965,-0.04707226439046234,-0.03829015029024403,0.04779605743434405,-0.007627896661570621
synt_UPOS_ADJ_md,0.20688052049741318,0.0053069343736583926,0.04134897650509352,-0.1072829011803099,-0.03705691737995745
synt_UPOS_ADV_md,0.13791920958013063,-0.066772888285228,0.05856381936889611,0.17866552563573332,0.204074832784392
synt_UPOS_PROPN_prop,-0.04323808988235404,-0.16646385840787925,0.024270466873062446,0.0545748702030598,-0.03121361360384366
synt_UPOS_PROPN_md,0.16200304042778027,-0.10123818845528147,0.0735138219078036,0.01627941672768644,0.24008906964187887
synt_UPOS_AUX_prop,0.07803253979200286,0.18967442553033062,-0.13256566545515938,-0.029753660921379387,-0.05031531500060035
synt_UPOS_AUX_md,0.056317363468467434,-0.005710525754205011,-0.03805909219039492,0.14021686956439183,0.024825902444972445
synt_UPOS_PRON_prop,0.14515584585655386,0.18526416902361514,-0.02856844018343047,0.01716482349608356,0.11346620526553289
synt_UPOS_PRON_md,0.14811435299684197,-0.06287805546095672,0.04313683833353186,-0.05571761769111143,0.13440148101404578
synt_UPOS_SCONJ_prop,0.07198226117786656,0.17414471674413526,0.1021647452422647,0.07121786156812349,-0.016561919070751527
synt_UPOS_SCONJ_md,0.08051128611187693,-0.11082193469705,0.0940856495438111,0.15886616537358858,0.2852806864539388
synt_UPOS_total_words,-0.14133261467467273,-0.08128429816138338,0.19324656346056235,-0.0740982715350118,-0.01697841971373508
